report_date,db_name,total_bytes,total_mb
2026-01-12 00:00:00,docr_idf,53185813516,50721.94
2026-01-12 00:00:00,docr_mtq,1864224585,1777.86
2026-01-12 00:00:00,docr_naq,46826200577,44656.94
2026-01-12 00:00:00,docr_nor,10351549795,9872.01
2026-01-12 00:00:00,docr_occ,25830279005,24633.67
2026-01-12 00:00:00,docs_ara,26853808555,25609.79
2026-01-12 00:00:00,docs_can,252002218,240.33
2026-01-12 00:00:00,docs_ges,22004798283,20985.41
2026-01-12 00:00:00,docs_guy,13712909525,13077.65
2026-01-12 00:00:00,docs_idf,51328882080,48951.04
2026-01-12 00:00:00,docs_naq,66174713694,63109.12
2026-01-12 00:00:00,docs_nor,18737199424,17869.19
2026-01-12 00:00:00,docs_occ,43034282672,41040.69
2026-01-12 00:00:00,docu_aquitaine,9569751340,9126.43
2026-01-12 00:00:00,docu_bfc,2300650466,2194.07
2026-01-12 00:00:00,docu_can,132970558,126.81
2026-01-12 00:00:00,docu_guadeloupe,1079357949,1029.36
2026-01-12 00:00:00,docu_guyane,635698837,606.25
2026-01-12 00:00:00,docu_idf,21910627662,20895.6
2026-01-12 00:00:00,docu_martinique,1960417048,1869.6
2026-01-12 00:00:00,docu_normandie,3575241149,3409.62
2026-01-12 00:00:00,docu_occitanie,10411806966,9929.47
2026-01-12 00:00:00,docu_pf,165818373,158.14
2026-01-12 00:00:00,docu_rh_alpes,14564367481,13889.66
2026-01-12 00:00:00,edepistage,4876761358,4650.84
2026-01-12 00:00:00,edepistage_can,109296119,104.23
2026-01-12 00:00:00,edepistage_pf,504595464,481.22
2026-01-12 00:00:00,esisbci,59133712033,56394.3
2026-01-12 00:00:00,esisbci_can,35839844,34.18
2026-01-12 00:00:00,esisdoccu,19766393547,18850.7
2026-01-12 00:00:00,esisstats_ara,6583995,6.28
2026-01-12 00:00:00,esisstats_bfc,5678905,5.42
2026-01-12 00:00:00,esisstats_can,5498681,5.24
2026-01-12 00:00:00,esisstats_demo,6044519,5.76
2026-01-12 00:00:00,esisstats_ges,5596985,5.34
2026-01-12 00:00:00,esisstats_gf,5728057,5.46
2026-01-12 00:00:00,esisstats_gua,5580601,5.32
2026-01-12 00:00:00,esisstats_idf,5941049,5.67
2026-01-12 00:00:00,esisstats_mtq,5678905,5.42
2026-01-12 00:00:00,esisstats_naq,6624055,6.32
2026-01-12 00:00:00,esisstats_nor,5547833,5.29
2026-01-12 00:00:00,esisstats_occ,5711673,5.45
2026-01-12 00:00:00,mailmerge,9674024613,9225.87
2026-01-12 00:00:00,mysql,137275349,130.92
2026-01-12 00:00:00,neobci_demo,609392945,581.16
2026-01-12 00:00:00,neobci_pf,28238432,26.93
2026-01-12 00:00:00,neobudi_provider,15140248,14.44
2026-01-12 00:00:00,neoesis_pf,81644575,77.86
2026-01-12 00:00:00,performance_schema,67,0.0
2026-01-12 00:00:00,voo4bcm,8669863184,8268.23
2026-01-12 00:00:00,voo4bcm_pf,7104366,6.78
